,movie,year,imdb,metascore,votes
0,Vengadores: Infinity War,(2018),8.6,68,517351
1,Black Panther,(2018),7.4,88,410030
2,Deadpool 2,(2018),7.8,66,295184
3,Ready Player One,(2018),7.6,64,237380
4,Un lugar tranquilo,(2018),7.6,82,226881
5,Aniquilación,(2018),6.9,79,180426
6,Jurassic World: El reino caído,(2018),6.3,51,169325
7,Han Solo: Una historia de Star Wars,(2018),7.0,62,168321
8,Misión Imposible: Fallout,(2018),8.0,86,149489
9,Ant-Man y la Avispa,(2018),7.2,70,142494
10,Tomb Raider,(2018),6.4,48,135889
11,Noche de juegos,(I) (2018),7.0,66,125611
12,Los Increíbles 2,(2018),7.9,80,124765
13,Venom,(2018),7.0,35,116415
14,Gorrión rojo,(2018),6.6,53,110746
15,Hereditary,(2018),7.3,87,100869
16,Ocean's 8,(2018),6.3,61,100040
17,Proyecto Rampage,(2018),6.2,45,90217
18,Ha nacido una estrella,(2018),8.3,88,84847
19,Isla de perros,(2018),8.0,82,77980
20,El corredor del laberinto: La cura mortal,(2018),6.3,51,76447
21,Pacific Rim: Insurrección,(2018),5.7,44,74476
22,The Cloverfield Paradox,(2018),5.6,37,73739
23,El pasajero,(I) (2018),6.3,56,67356
24,Upgrade,(2018),7.6,67,66512
25,"Con amor, Simon",(2018),7.7,72,64640
26,Sicario: El día del soldado,(2018),7.2,61,62948
27,Megalodón,(2018),5.8,46,62337
28,Bohemian Rhapsody,(2018),8.4,49,59439
29,Juego de ladrones: El atraco perfecto,(2018),7.0,49,55659
30,Tag,(I) (2018),6.6,56,55417
31,El rascacielos,(2018),5.9,51,54258
32,La monja,(2018),5.6,46,50985
33,Infiltrado en el KKKlan,(2018),7.7,83,47876
34,First Man (El primer hombre),(2018),7.7,84,43404
35,#SexPact,(2018),6.2,69,43190
36,A todos los chicos de los que me enamoré,(2018),7.4,64,42606
37,La noche de Halloween,(I) (2018),7.1,67,42446
38,The Equalizer 2,(2018),6.9,50,41414
39,Mamma Mia! Una y otra vez,(2018),7.0,60,40669
40,12 valientes,(2018),6.6,54,40060
41,El justiciero,(2018),6.4,31,39152
42,Predator,(2018),5.9,48,36406
43,Cincuenta sombras liberadas,(2018),4.5,31,36339
44,Insidious: La última llave,(2018),5.7,49,35844
